X,Y,OBJECTID,LocationID,LocationDesc,LocationNote,CountNote,CityName,CountyName,CountYear,CountTime,CountDate,WeatherCode,WeatherNote,HeritageSite,Bike_M_N_NH,Bike_M_N_H,Bike_F_N_NH,Bike_F_N_H,Bike_M_S_NH,Bike_M_S_H,Bike_F_S_NH,Bike_F_S_H,Bike_M_E_NH,Bike_M_E_H,Bike_F_E_NH,Bike_F_E_H,Bike_M_W_NH,Bike_M_W_H,Bike_F_W_NH,Bike_F_W_H,Bike_U_N,Bike_U_S,Bike_U_E,Bike_U_W,Bike_M_N,Bike_F_N,Bike_North,Bike_M_S,Bike_F_S,Bike_South,Bike_M_E,Bike_F_E,Bike_East,Bike_M_W,Bike_F_W,Bike_West,Bike_Total,Ped_M_N,Ped_F_N,Ped_U_N,Ped_North,Ped_M_S,Ped_F_S,Ped_U_S,Ped_South,Ped_M_E,Ped_F_E,Ped_U_E,Ped_East,Ped_M_W,Ped_F_W,Ped_U_W,Ped_West,Ped_Total,Other_N,Other_S,Other_E,Other_W,Other_Total,Latitude,Longitude,Deprecated,StartYear,CityFIPSLongPlaceCode,CountyFIPSLongPlaceCode,TimeSlot
-122.376230000112486,47.658029999226883,9626,Seattle11,Ballard Bridge,,,Seattle,King County,2009,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,20,,,,,0,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9627,Seattle11,Ballard Bridge,,,Seattle,King County,2009,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,25,,,,,0,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9628,Seattle11,S. end of Ballard Bridge,,,Seattle,King County,2010,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,45,,,,,0,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9629,Seattle11,Ballard Bridge,,,Seattle,King County,2011,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,17,,,,,0,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9630,Seattle11,Ballard Bridge,,,Seattle,King County,2011,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,58,,,,,1,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9631,Seattle11,Ballard Bridge,,,Seattle,King County,2012,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,57,,,,,1,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9632,Seattle11,Ballard Bridge,,,Seattle,King County,2012,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,31,,,,,2,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9633,Seattle11,Ballard Bridge,,,Seattle,King County,2013,AM,2013-10-03T00:00:00.000Z,,"Overcast, 52 deg F",Yes,2,7,0,6,3,87,0,19,0,0,0,0,0,0,0,0,,,,,2,0,15,3,0,109,0,0,0,0,0,0,124,7,3,,10,9,1,,10,0,0,,0,0,0,,0,20,0,0,0,0,0,47.65803,-122.37623,No,2009,5363000,53033,
-122.376230000112486,47.658029999226883,9634,Seattle11,Ballard Bridge,,"The Ballard Locks were closed for Govt Shutdown, may have impacted numbers.",Seattle,King County,2013,PM,2013-10-02T00:00:00.000Z,,Overcast,Yes,5,57,1,13,4,17,0,3,0,0,0,0,0,0,0,0,,,,,5,1,76,4,0,24,0,0,0,0,0,0,100,17,6,,23,15,8,,23,0,0,,0,0,0,,0,46,0,0,0,0,0,47.65803,-122.37623,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9635,Seattle13,Lakeside Ave S & Lake Washington Blvd S,,,Seattle,King County,2009,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,6,,,,,0,47.58579,-122.28734,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9636,Seattle13,Lakeside Ave S & Lake Washington Blvd S,,,Seattle,King County,2009,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,102,,,,,2,47.58579,-122.28734,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9637,Seattle13,Lake WA Blvd/Lakeside,,,Seattle,King County,2010,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,64,,,,,0,47.58579,-122.28734,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9638,Seattle13,Lk Wa Blvd (N-S) & Lakeside Av (WB only),,,Seattle,King County,2011,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,88,,,,,2,47.58579,-122.28734,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9639,Seattle13,Lakeside Ave S & Lake Washington Blvd S,,,Seattle,King County,2012,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,66,,,,,0,47.58579,-122.28734,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9640,Seattle13,Lakeside Ave S & Lake Washington Blvd S,,,Seattle,King County,2013,PM,2013-10-03T00:00:00.000Z,,"cool, mostly cloudy, dry",Yes,2,10,0,4,2,46,0,20,0,0,0,0,0,22,0,4,,,,,2,0,16,2,0,68,0,0,0,0,0,26,110,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,47.58579,-122.28734,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9641,Seattle13,Lakeside Ave S & Lake Washington Blvd S,,,Seattle,King County,2014,AM,2014-10-01T00:00:00.000Z,,Mostly cloudy. 54F. Forecast of mostly sunny afternon.,Yes,,16,,8,,7,,4,,,,,,29,,5,,,,,,,24,,,11,,,,,,34,69,,,,,,,,,,,,,,,,,0,,,,,0,47.58579,-122.28734,No,2009,5363000,53033,
-122.287339999871264,47.58578999924908,9642,Seattle13,Lakeside Ave S & Lake Washington Blvd S,,,Seattle,King County,2014,PM,2014-10-01T00:00:00.000Z,,Mostly sunny. Calm. Temps in low 60s.,Yes,,16,,10,,68,,20,,,,,,20,,13,,,,,,,26,,,88,,,,,,33,147,,,,,,,,1,,,,,,,,,1,,,,,0,47.58579,-122.28734,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9643,Seattle14,Broadway E & E John St,,,Seattle,King County,2009,PM,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,1820,,,,,6,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9644,Seattle14,Broadway E & E John,,,Seattle,King County,2010,PM,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,1967,,,,,4,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9645,Seattle14,Broadway E & E John St,,,Seattle,King County,2011,AM,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,568,,,,,5,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9646,Seattle14,Broadway E & E John St,,,Seattle,King County,2012,AM,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,818,,,,,1,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9647,Seattle14,Broadway E & E John St,,,Seattle,King County,2012,PM,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,2024,,,,,8,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9648,Seattle14,Broadway E & E John St,,"Very interesting. Peds 729, bikes 53. Lots of foot traffic from buses on E John to south on Broadway (to SCCC I assume). Where are all the bikes?",Seattle,King County,2013,AM,2013-10-03T00:00:00.000Z,,"Clear, 52 deg +",No,2,1,0,2,2,12,1,6,1,2,0,2,1,14,0,7,,,,,2,0,5,2,1,21,1,0,5,1,0,22,53,90,75,,165,189,181,,370,22,14,,36,121,13,,134,705,0,1,0,0,1,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9649,Seattle14,Broadway E & E John St,,"This is a challenging intersection, with waves of peds flowing off of bus stops and buses sometimes blocking the view for counting. I could not count pedestrians by gender, just bodies -  only way I could even attempt to keep up. So I've split them evenly",Seattle,King County,2013,PM,2013-10-01T00:00:00.000Z,,"chilly with mostly dark clouds, some rain, some sun - variable",No,10,21,1,8,11,13,0,4,5,9,0,3,6,8,0,0,,,,,10,1,40,11,0,28,5,0,17,6,0,14,99,382,382,,764,288,288,,576,107,107,,214,181,180,,361,1915,,1,,1,2,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9650,Seattle14,Broadway E & E John St,,,Seattle,King County,2014,AM,2014-09-30T00:00:00.000Z,,,No,3,15,,1,9,29,,12,,8,,,4,22,1,3,,,,,3,,19,9,,50,,,8,4,1,30,107,,,,141,,,,334,,,,55,,,,271,801,,,,,0,47.62009,-122.32087,No,2009,5363000,53033,
-122.320869999898378,47.620089998976667,9651,Seattle14,Broadway E & E John St,,"1. This count is for E. Pike Street and Broadway E (instructions i got in the email)
2. Due to the huge volume, i was not able to count male and female pedestrians separately. Since this form requires separate entries, i have used a ratio of 50:50 ( appro",Seattle,King County,2014,PM,2014-10-01T00:00:00.000Z,,Sunny,No,6,25,1,15,12,24,,5,1,43,,14,11,17,,10,,,,,6,1,47,12,,41,1,,58,11,,38,184,,,,470,,,,462,,,,432,,,,446,1810,2,2,3,2,9,47.62009,-122.32087,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9652,Seattle16,University Way NE & NE 47th St,,,Seattle,King County,2009,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,2398,,,,,11,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9653,Seattle16,University Way NE & NE 47th St,,,Seattle,King County,2010,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,714,,,,,1,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9654,Seattle16,University Way NE & NE 47th St,,,Seattle,King County,2010,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,1892,,,,,10,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9655,Seattle16,NE 47th St & University Wy NE,,,Seattle,King County,2011,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,579,,,,,3,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9656,Seattle16,University Wy NE (N-S) and NE 47th St,,,Seattle,King County,2011,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,1350,,,,,15,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9657,Seattle16,University Way NE & NE 47th St,,,Seattle,King County,2012,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,611,,,,,3,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9658,Seattle16,University Way NE & NE 47th St,,,Seattle,King County,2012,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,927,,,,,6,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9659,Seattle16,University Way NE & NE 47th St,,"Total Bikes 71
Total pedestrians 422
Other 2
Total Travelers  495",Seattle,King County,2013,AM,2013-10-03T00:00:00.000Z,,Dry Temp 50-52,Yes,2,0,0,1,12,23,0,13,1,5,1,4,1,7,0,1,,,,,2,0,3,12,0,48,1,1,11,1,0,9,71,29,16,,45,122,117,,239,29,28,,57,49,32,,81,422,,1,,1,2,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9660,Seattle16,University Way NE & NE 47th St,,Very busy intersection- difficult to count all pedestrians accurately.,Seattle,King County,2013,PM,2013-10-03T00:00:00.000Z,,Partly cloudy and ~ 60 degrees  F,Yes,8,35,1,15,8,10,2,2,1,9,2,4,5,15,2,2,,,,,8,1,59,8,2,22,1,2,16,5,2,24,121,225,247,,472,66,158,,224,95,87,,182,83,64,,147,1025,1,2,0,2,5,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9661,Seattle16,University Way NE & NE 47th St,,,Seattle,King County,2014,PM,2014-10-01T00:00:00.000Z,,Sunny and 65,Yes,11,18,1,20,15,17,,10,2,1,,1,8,5,,5,,,,,11,1,50,15,,42,2,,4,8,,18,114,,,,202,,,,225,,,,160,,,,225,812,1,3,,,4,47.66311,-122.31311,No,2009,5363000,53033,
-122.313110000621634,47.663109999102886,9662,Seattle16,University Way NE & NE 47th St,,,Seattle,King County,2014,AM,2014-09-30T00:00:00.000Z,,Sunny and cool (60 degrees) ,Yes,4,4,0,3,15,30,1,14,1,5,0,2,2,4,0,4,,,,,4,0,11,15,1,60,1,0,8,2,0,10,89,,,,35,,,,194,,,,50,,,,48,327,,,,,0,47.66311,-122.31311,No,2009,5363000,53033,
-122.337111999494681,47.539950999425592,9663,Seattle19,Highland Park Way SW & Duwamish Trail,,,Seattle,King County,2009,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,10,,,,,0,47.539951,-122.337112,No,2009,5363000,53033,
-122.337111999494681,47.539950999425592,9664,Seattle19,Highland Park Way SW & Duwamish Trail,,,Seattle,King County,2010,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,11,,,,,0,47.539951,-122.337112,No,2009,5363000,53033,
-122.337111999494681,47.539950999425592,9665,Seattle19,Highland Park Way @ Duamish Trail,,,Seattle,King County,2011,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,35,,,,,0,47.539951,-122.337112,No,2009,5363000,53033,
-122.337111999494681,47.539950999425592,9666,Seattle19,Highland Park Way SW & Duwamish Trail,,,Seattle,King County,2012,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,39,,,,,0,47.539951,-122.337112,No,2009,5363000,53033,
-122.337111999494681,47.539950999425592,9667,Seattle19,Highland Park Way SW & Duwamish Trail,,,Seattle,King County,2013,AM,2013-10-03T00:00:00.000Z,,Cool and cloudy,Yes,0,2,0,2,0,0,0,0,2,20,0,4,0,0,0,0,,,,,0,0,4,0,0,0,2,0,26,0,0,0,30,7,1,,8,3,0,,3,1,0,,1,5,1,,6,18,0,0,0,0,0,47.539951,-122.337112,No,2009,5363000,53033,
-122.337111999494681,47.539950999425592,9668,Seattle19,Highland Park Way SW & Duwamish Trail,,it would not let me use the total column,Seattle,King County,2013,PM,2013-10-03T00:00:00.000Z,,cool  in the 50's,Yes,1,13,,,,,,,1,5,,,1,5,1,,,,,,1,,14,,,,1,,6,1,1,7,27,2,2,,4,,,,,2,,,2,12,1,,13,19,,,,,,47.539951,-122.337112,No,2009,5363000,53033,
-122.337111999494681,47.539950999425592,9669,Seattle19,Highland Park Way SW & Duwamish Trail,,,Seattle,King County,2014,PM,2014-10-01T00:00:00.000Z,,Sunny,Yes,0,4,0,3,0,7,0,1,0,0,0,0,2,20,2,3,,,,,0,0,7,0,0,8,0,0,0,2,2,27,42,,,,0,,,,1,,,,0,,,,5,6,0,0,0,0,0,47.539951,-122.337112,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9670,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2009,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,,,,176,,,,,0,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9671,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2009,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,189,,,,,1,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9672,Seattle2,University Bridge and Fuhrman,,,Seattle,King County,2010,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,286,,,,,2,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9673,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2011,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,,,,,,,,,,,,,,,,,225,,,,,0,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9674,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2011,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,,,,,,,,,,,,,,,,,412,,,,,0,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9675,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2012,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,,,,,,,,,,,,,,,,,243,,,,,0,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9676,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2012,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,,,,,,,,,,,,,,,,,441,,,,,3,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9677,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2013,AM,2013-10-03T00:00:00.000Z,,"overcast, dry, cold",Yes,1,96,0,51,6,174,2,57,0,9,0,5,0,6,0,1,,,,,1,0,148,6,2,239,0,0,14,0,0,7,408,52,41,,93,42,43,,85,8,10,,18,9,3,,12,208,0,0,0,0,0,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9678,Seattle2,University Bridge & Fuhrman Ave E,,"It was fast and furious! Also, the Federal  Gov't was on its third day of ""shutdown"" so that may have reduced numbers.",Seattle,King County,2013,PM,2013-10-03T00:00:00.000Z,,"75% cloudy, dry",Yes,11,226,,48,7,110,,39,3,23,1,9,2,7,,4,,,,,11,,285,7,,156,3,1,36,2,,13,490,42,50,,92,52,93,,145,30,31,,61,12,35,,47,345,2,,,,2,47.651561,-122.321292,No,2009,5363000,53033,
-122.32129199989005,47.651560998898404,9679,Seattle2,University Bridge & Fuhrman Ave E,,,Seattle,King County,2014,PM,2014-09-30T00:00:00.000Z,,Partly Cloudy,Yes,10,213,1,78,7,101,1,51,2,28,1,7,,3,,1,,,,,10,1,302,7,1,160,2,1,38,,,4,504,,,,93,,,,82,,,,49,,,,19,243,3,,,,3,47.651561,-122.321292,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9680,Seattle21,California Ave SW & SW Alaska St,,,Seattle,King County,2009,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,226,,,,,0,47.56103,-122.38693,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9681,Seattle21,California & Alaska,,,Seattle,King County,2010,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,244,,,,,0,47.56103,-122.38693,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9682,Seattle21,Alaska/California,,,Seattle,King County,2010,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,695,,,,,0,47.56103,-122.38693,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9683,Seattle21,California Ave SW & SW Alaska St,,,Seattle,King County,2011,AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,247,,,,,0,47.56103,-122.38693,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9684,Seattle21,California Ave SW & SW Alaska St,,,Seattle,King County,2011,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,819,,,,,0,47.56103,-122.38693,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9685,Seattle21,California Ave SW & SW Alaska St,,,Seattle,King County,2012,PM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,660,,,,,0,47.56103,-122.38693,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9686,Seattle21,California Ave SW & SW Alaska St,,,Seattle,King County,2013,AM,2013-10-02T00:00:00.000Z,,steady light rain and 50 degrees F,Yes,,5,,,,,,,,9,,4,1,1,,1,,,,,,,5,,,,,,13,1,,3,21,44,23,,67,33,19,,52,36,25,,61,76,74,,150,330,,,,1,1,47.56103,-122.38693,No,2009,5363000,53033,
-122.386929999807933,47.56102999926965,9687,Seattle21,California Ave SW & SW Alaska St,,Pedestrian counts recorded are probably to low.  This intersection has all-way and diagonal crosswalks at the same time making it very difficult to track number of people particularly with direction leaving the intersection.  I suggest next year using a s,Seattle,King County,2013,PM,2013-10-03T00:00:00.000Z,,sunny/overcast,Yes,2,2,0,1,3,7,0,1,0,1,0,1,2,5,0,1,,,,,2,0,5,3,0,11,0,0,2,2,0,8,26,81,78,,159,105,93,,198,103,86,,189,70,52,,122,668,0,0,2,0,2,47.56103,-122.38693,No,2009,5363000,53033,
